Library ID,Primary stream,Evidence role,Screening depth,Classification confidence,Changed from earlier stream,Human confirmation,Review note
LIT-260,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-261,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-262,Enabling robotic-pollination evidence,platform/end effector,Title and abstract reviewed,High,No,No,
LIT-263,Enabling robotic-pollination evidence,platform/end effector,Title and abstract reviewed,High,No,No,
LIT-264,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-265,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-266,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-267,Contextual/non-intervention evidence,perception/localisation,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-268,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-269,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-270,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-271,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-272,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-273,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,Yes,No,
LIT-274,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-275,Enabling robotic-pollination evidence,planning/control,Title and abstract reviewed,High,No,No,
LIT-276,Enabling robotic-pollination evidence,platform/end effector,Title and abstract reviewed,High,No,No,
LIT-277,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,No,No,
LIT-278,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-279,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,No,No,
LIT-280,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-281,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,Medium,Yes,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-282,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,No,No,
LIT-283,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-284,Contextual/non-intervention evidence,ecology/governance/economics,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-285,Contextual/non-intervention evidence,planning/control,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-286,Enabling robotic-pollination evidence,platform/end effector,Title and abstract reviewed,High,No,No,
LIT-287,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-288,Enabling robotic-pollination evidence,platform/end effector,Title and abstract reviewed,High,No,No,
LIT-289,Enabling robotic-pollination evidence,platform/end effector,Title and abstract reviewed,High,No,No,
LIT-290,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-291,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-292,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-293,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,Yes,No,
LIT-294,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-295,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-296,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-297,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-298,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,No,No,
LIT-299,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-300,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-301,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-302,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-303,Contextual/non-intervention evidence,ecology/governance/economics,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-304,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-305,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-306,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,No,No,
LIT-307,Mechanized artificial pollination,mechanized comparator,Full text visually reviewed,High,No,No,
LIT-308,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-309,Enabling robotic-pollination evidence,perception/localisation,Title and abstract reviewed,High,No,No,
LIT-310,Contextual/non-intervention evidence,ecology/governance/economics,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-311,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-312,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-313,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,Medium,Yes,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-314,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-315,Enabling robotic-pollination evidence,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-316,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-317,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-318,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-319,Contextual/non-intervention evidence,planning/control,Title and abstract reviewed,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-320,Contextual/non-intervention evidence,perception/localisation,Title and abstract reviewed,Medium,No,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-321,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-322,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-323,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-324,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-325,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-326,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-327,Conceptual/prototype robotic pollination,platform/end effector,Full text reviewed,High,Yes,No,
LIT-328,Conceptual/prototype robotic pollination,platform/end effector,Title and abstract reviewed,High,Yes,No,
LIT-329,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-330,Mechanized artificial pollination,mechanized comparator,Title and abstract reviewed,High,No,No,
LIT-331,Conceptual/prototype robotic pollination,planning/control,Title and abstract reviewed,High,Yes,No,
LIT-332,Contextual/non-intervention evidence,planning/control,Title and abstract reviewed; rescued during refined-query validation,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-333,Contextual/non-intervention evidence,planning/control,Title and abstract reviewed; rescued during refined-query validation,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-334,Contextual/non-intervention evidence,ecology/governance/economics,Title and abstract reviewed; rescued during refined-query validation,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-335,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed; rescued during refined-query validation,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-336,Contextual/non-intervention evidence,review/synthesis,Title and abstract reviewed; rescued during refined-query validation,High,No,No,
LIT-337,Contextual/non-intervention evidence,ecology/governance/economics,Title and abstract reviewed; rescued during refined-query validation,High,Yes,No,Primary stream assigned from the final eligibility and intervention-role criteria.
LIT-338,Direct empirical robotic pollination,direct robotic evidence,Full text,High,Yes,No,
LIT-339,Direct empirical robotic pollination,direct robotic evidence,Full text,High,Yes,No,
LIT-340,Mechanized artificial pollination,mechanized comparator,Abstract/metadata,High,No,No,
LIT-341,Contextual/non-intervention evidence,planning/control,Abstract/metadata,Medium,No,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-342,Contextual/non-intervention evidence,perception/localisation,Abstract/metadata,High,No,No,
LIT-343,Contextual/non-intervention evidence,review/synthesis,Reference-level,High,No,No,
LIT-344,Contextual/non-intervention evidence,review/synthesis,Abstract/metadata,High,Yes,No,
LIT-345,Mechanized artificial pollination,mechanized comparator,Abstract/metadata,High,No,No,
LIT-346,Mechanized artificial pollination,mechanized comparator,Full text,High,No,No,
